strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,arm,trial
decentralized_greedy,0.3,27955,14,10,400,2787,0.5177610333692142,3.6075,22.89423691462816,52.18486107880891,2909.0,0.6684283088235294,58,1.896551724137931,0,node_revival,13
decentralized_greedy,0.3,146513,14,10,400,2702,0.5307179866765359,3.585,13.515948786342365,24.100659270762048,2788.0,0.660350544765514,54,8.538461538461538,2,node_revival,14
decentralized_greedy,0.3,715335,14,10,400,2813,0.31603270529683614,2.2225,18.06838960905872,36.25392467619556,2040.0,0.696483441447593,60,4.683333333333334,0,node_revival,15
decentralized_greedy,0.3,945381,14,10,400,2752,0.657703488372093,4.525,13.862627649683912,24.143963548413964,3536.0,0.6614291058735503,51,0.803921568627451,0,node_revival,16
decentralized_greedy,0.3,578497,14,10,400,2815,0.14351687388987566,1.01,14.687935237559088,30.28471486454594,891.0,0.6880308880308881,67,4.417910447761194,0,node_revival,17
decentralized_greedy,0.3,303808,14,10,400,2846,0.36612789880534086,2.605,11.136110123572957,23.88678488490274,2319.0,0.6899732222552811,55,1.74,4,node_revival,18
decentralized_greedy,0.3,134096,14,10,400,2851,0.42195720799719394,3.0075,16.305854033195743,27.773497222178655,2389.0,0.6650890868596881,57,3.491228070175439,0,node_revival,19
decentralized_greedy,0.3,819045,14,10,400,2719,0.3990437660904744,2.7125,13.294211679399881,27.811437325783768,4800.0,0.8156329651656754,65,0.3076923076923077,0,shard_migration,0
decentralized_greedy,0.3,526363,14,10,400,2771,0.38108985925658606,2.64,14.145765837970684,29.675149494953764,4800.0,0.819672131147541,68,0.9104477611940298,1,shard_migration,1
decentralized_greedy,0.3,693818,14,10,400,2755,0.39056261343012705,2.69,14.622861083635932,31.510208873355076,4800.0,0.8168822328114363,65,0.4032258064516129,2,shard_migration,2
decentralized_greedy,0.3,64596,14,10,400,2836,0.3416784203102962,2.4225,13.742132433471989,29.74201578079415,4800.0,0.8320332813312532,60,0.5,0,shard_migration,3
decentralized_greedy,0.3,71950,14,10,400,2793,0.41568206229860366,2.9025,12.427871196085224,23.660683441518742,4800.0,0.8052340211373931,64,0.28125,0,shard_migration,4
decentralized_greedy,0.3,574358,14,10,400,2797,0.4554880228816589,3.185,14.717615270089691,27.850036047900744,4800.0,0.7902535396773132,59,0.19298245614035087,2,shard_migration,5
decentralized_greedy,0.3,869642,14,10,400,2781,0.43401654081265734,3.0175,12.203328629930608,24.28018290989843,4800.0,0.7990677542866655,63,0.047619047619047616,0,shard_migration,6
decentralized_greedy,0.3,182480,14,10,400,2777,0.34389629096146923,2.3875,12.527541845852276,29.12289694541289,4800.0,0.8340573414422241,61,3.0,1,shard_migration,7
decentralized_greedy,0.3,91166,14,10,400,2850,0.38421052631578945,2.7375,13.572920229505877,27.28921890828455,4800.0,0.8142493638676844,60,4.0,0,shard_migration,8
decentralized_greedy,0.3,400749,14,10,400,2776,0.3649135446685879,2.5325,12.099978822379434,24.85992637520908,4800.0,0.8257354206089799,56,7.375,0,shard_migration,9
decentralized_greedy,0.3,596677,14,10,400,2785,0.48617594254937163,3.385,13.587949238451428,25.600254896655088,4800.0,0.7799805004874878,45,0.0,0,shard_migration,10
decentralized_greedy,0.3,59577,14,10,400,2803,0.34213342846949696,2.3975,13.443114651814591,29.749562999228743,4800.0,0.8334780343809689,67,1.5737704918032787,6,shard_migration,11
decentralized_greedy,0.3,538962,14,10,400,2790,0.4344086021505376,3.03,14.148931768663742,27.477703078686254,4800.0,0.7984031936127745,59,2.2542372881355934,0,shard_migration,12
decentralized_greedy,0.3,219454,14,10,400,2817,0.3681221157259496,2.5925,10.019629958518859,21.66457844686848,4800.0,0.8223402432756552,63,0.38095238095238093,0,shard_migration,13
decentralized_greedy,0.3,925731,14,10,400,2728,0.37939882697947214,2.5875,14.10507077672796,30.512617486447347,4800.0,0.8226221079691517,64,2.3114754098360657,1,shard_migration,14
decentralized_greedy,0.3,803691,14,10,400,2812,0.44132290184921763,3.1025,14.975471843484405,30.98964381062744,4800.0,0.7945704353583843,59,3.3559322033898304,0,shard_migration,15
decentralized_greedy,0.3,567373,14,10,400,2800,0.4575,3.2025,15.169491347320168,35.12774439919677,4800.0,0.7893438579181056,51,3.94,1,shard_migration,16
decentralized_greedy,0.3,546340,14,10,400,2770,0.3418772563176895,2.3675,12.703357428292064,25.91268592593354,4800.0,0.8352183748042457,53,0.019230769230769232,1,shard_migration,17
decentralized_greedy,0.3,289966,14,10,400,2816,0.39488636363636365,2.78,13.755125710624013,30.558516679593204,4800.0,0.8119079837618404,60,0.7666666666666667,0,shard_migration,18
decentralized_greedy,0.3,642992,14,10,400,2787,0.5400071761750986,3.7625,15.24149543039798,31.650536984431003,4800.0,0.7613005551149881,42,3.0476190476190474,0,shard_migration,19
decentralized_greedy,0.3,107217,14,10,400,2912,0.9814560439560439,7.145,48.16410614250313,123.87054318457582,4800.0,0.6267955079655263,73,2.8,2,latency_shift,0
decentralized_greedy,0.3,573517,14,10,400,2816,0.9914772727272727,6.98,37.22658923063941,87.50357198786605,4800.0,0.6322444678609063,62,1.532258064516129,0,latency_shift,1
decentralized_greedy,0.3,656408,14,10,400,2810,0.9839857651245552,6.9125,72.32635610453755,180.8353022178283,4800.0,0.634500991407799,59,0.23529411764705882,8,latency_shift,2
decentralized_greedy,0.3,744820,14,10,400,2822,0.9879518072289156,6.97,82.56907529681949,215.8180390095367,4800.0,0.632577754348972,66,2.1311475409836067,5,latency_shift,3
decentralized_greedy,0.3,979359,14,10,400,2802,0.9903640256959315,6.9375,60.55142562255317,183.09109368098183,4800.0,0.6336633663366337,60,0.39285714285714285,4,latency_shift,4
decentralized_greedy,0.3,51306,14,10,400,2870,0.9898954703832753,7.1025,41.39463296293215,92.45712441034189,4800.0,0.6281900274833137,50,0.20408163265306123,1,latency_shift,5
decentralized_greedy,0.3,292568,14,10,400,2840,0.9890845070422535,7.0225,113.40753809446193,265.45574169605055,4800.0,0.6308319095807596,74,5.257142857142857,4,latency_shift,6
decentralized_greedy,0.3,38759,14,10,400,2780,0.987410071942446,6.8625,48.26301309437359,77.42527816586225,4800.0,0.6361829025844931,51,0.4666666666666667,6,latency_shift,7
decentralized_greedy,0.3,881194,14,10,400,2892,0.9844398340248963,7.1175,34.02507987680144,69.09341417691492,4800.0,0.6276971361318164,55,0.0,4,latency_shift,8
decentralized_greedy,0.3,435285,14,10,400,2814,0.9879175550817342,6.95,51.508069748460045,84.27145842499306,4800.0,0.633245382585752,56,1.2727272727272727,1,latency_shift,9
decentralized_greedy,0.3,711338,14,10,400,2865,0.9895287958115183,7.0875,41.94211935514497,91.79530858767751,4800.0,0.6286836935166994,65,0.5079365079365079,2,latency_shift,10
decentralized_greedy,0.3,828307,14,10,400,2772,0.9862914862914863,6.835,48.13345741176544,107.24145434319612,4800.0,0.637111760021237,58,0.4230769230769231,6,latency_shift,11
decentralized_greedy,0.3,297737,14,10,400,2624,0.984375,6.4575,40.78233308203208,95.80556622861205,4800.0,0.650142218610321,64,0.6949152542372882,4,latency_shift,12
decentralized_greedy,0.3,426040,14,10,400,2776,0.9895533141210374,6.8675,32.45650592547879,66.03973070362197,4800.0,0.6360143103219822,62,0.0847457627118644,3,latency_shift,13
decentralized_greedy,0.3,605967,14,10,400,2779,0.9895645915797049,6.875,33.07341921479633,73.13306864356554,4800.0,0.6357615894039735,61,1.8793103448275863,3,latency_shift,14
decentralized_greedy,0.3,501458,14,10,400,2768,0.9891618497109826,6.845,59.76626030593304,118.36145451372045,4800.0,0.6367736800212258,55,1.4081632653061225,6,latency_shift,15
decentralized_greedy,0.3,635205,14,10,400,2846,0.9894588896697118,7.04,33.281795859987646,96.15390820074788,4800.0,0.6302521008403361,63,0.5645161290322581,1,latency_shift,16
decentralized_greedy,0.3,196714,14,10,400,2843,0.9862820963770664,7.01,38.66256497079888,110.96797381148835,4800.0,0.631246712256707,61,0.08333333333333333,1,latency_shift,17
decentralized_greedy,0.3,103054,14,10,400,2833,0.9830568302153194,6.9625,103.0228213192328,354.81391381299767,4800.0,0.6328279499011207,79,1.7741935483870968,14,latency_shift,18
decentralized_greedy,0.3,290226,14,10,400,2823,0.9911441728657456,6.995,1324.9990345108235,2781.8186595804364,4800.0,0.631745196104238,71,3.7045454545454546,26,latency_shift,19
decentralized_greedy,0.3,37638,14,10,400,2813,0.9918236757909705,6.975,21.007588589909926,38.21088170660762,4800.0,0.6324110671936759,59,3.7735849056603774,5,workload_shift,0
decentralized_greedy,0.3,653091,14,10,400,2792,0.9838825214899714,6.8675,25.509931829162255,46.8640822457377,4800.0,0.6360143103219822,48,0.041666666666666664,0,workload_shift,1
decentralized_greedy,0.3,774503,14,10,400,2707,0.9837458441078685,6.6575,17.204105859043853,30.172597429875907,4800.0,0.6431729867345571,71,1.0289855072463767,2,workload_shift,2
decentralized_greedy,0.3,727186,14,10,400,2793,0.9867525957751522,6.89,14.701420846723611,28.276580749549115,4800.0,0.6352567496029645,59,0.7288135593220338,0,workload_shift,3
decentralized_greedy,0.3,199036,14,10,400,2897,0.9924059371763894,7.1875,18.746365399651037,31.920482041453045,4800.0,0.6254071661237784,62,0.0,1,workload_shift,4
