strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
decentralized_greedy,0.05,239285,14,10,400,2786,0.7946877243359656,5.535,17.56298141318025,30.9161205787641,4169.0,0.653141156196146,15,0.0,0,8
antsql,0.05,239285,14,10,400,2786,0.9073941134242641,6.32,37.967940140441094,77.42665781431967,939.0,0.2708393423709259,15,0.0,0,8
static_centralized,0.05,240247,14,10,400,2767,0.8308637513552584,5.7475,24.772798396523907,42.87441241330767,0.0,0.0,15,0.0,0,9
adaptive_centralized,0.05,240247,14,10,400,2767,0.9139862667148536,6.3225,24.546702990167113,42.6913040349569,266.0,0.09516994633273702,15,0.0,0,9
decentralized_greedy,0.05,240247,14,10,400,2767,0.8445970365016263,5.8425,24.52929533390935,42.76200219160082,4301.0,0.6479361253389575,15,0.13333333333333333,0,9
antsql,0.05,240247,14,10,400,2767,0.9143476689555475,6.325,45.19528835573911,92.65200353914734,896.0,0.2615294804436661,15,0.0,0,9
static_centralized,0.05,157187,14,10,400,2764,0.5173661360347322,3.575,18.311627113311552,34.231711576696284,0.0,0.0,16,0.0,1,10
adaptive_centralized,0.05,157187,14,10,400,2764,0.7590448625180898,5.245,21.991748485614256,37.83596320365968,266.0,0.11252115059221658,16,0.0,0,10
decentralized_greedy,0.05,157187,14,10,400,2764,0.5886396526772794,4.0675,18.615523000744265,34.11884166152896,3418.0,0.6775024777006937,16,0.06666666666666667,1,10
antsql,0.05,157187,14,10,400,2764,0.7583212735166426,5.24,32.477174150914685,64.53376587948044,1015.0,0.32626165220186437,16,0.0,0,10
static_centralized,0.05,515337,14,10,400,2808,0.3839031339031339,2.695,13.609207831275462,29.362363124663492,0.0,0.0,23,0.21739130434782608,0,11
adaptive_centralized,0.05,515337,14,10,400,2808,0.6093304843304843,4.2775,19.635820634274822,40.188196490656445,266.0,0.1345472938796156,23,0.4782608695652174,0,11
decentralized_greedy,0.05,515337,14,10,400,2808,0.4116809116809117,2.89,13.35006741434128,29.309541035571325,2981.0,0.720570461687213,23,0.17391304347826086,0,11
antsql,0.05,515337,14,10,400,2808,0.5783475783475783,4.06,25.806976840959116,58.17430316515035,892.0,0.35453100158982515,23,5.0,0,11
static_centralized,0.05,890087,14,10,400,2863,0.6615438351379672,4.735,16.842470836164516,29.516386905346785,0.0,0.0,15,0.0,0,12
adaptive_centralized,0.05,890087,14,10,400,2863,0.8173244848061474,5.85,18.71509826931717,33.515283912957855,266.0,0.10207214121258634,15,1.0,0,12
