strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,max_query_hops,trial
adaptive_centralized,0.2,428859,14,10,400,2770,0.535740072202166,3.71,19.705719708886072,38.23903232434656,266.0,0.152,54,2.843137254901961,3,15,11
antsql,0.2,428859,14,10,400,2770,0.5620938628158845,3.8925,27.373717379182832,56.95834806520187,584.0,0.2727697337692667,54,5.39622641509434,1,15,11
adaptive_centralized,0.2,428859,14,10,400,2770,0.535740072202166,3.71,19.705719708886072,38.23903232434656,266.0,0.152,54,2.843137254901961,3,25,11
antsql,0.2,428859,14,10,400,2770,0.5620938628158845,3.8925,27.373717379182832,56.95834806520187,584.0,0.2727697337692667,54,5.39622641509434,1,25,11
adaptive_centralized,0.2,386545,14,10,400,2872,0.4167827298050139,2.9925,22.52888623578065,37.995380024614924,266.0,0.18181818181818182,66,2.3484848484848486,0,4,12
antsql,0.2,386545,14,10,400,2872,0.3387883008356546,2.4325,23.702476627961158,43.02150758184696,562.0,0.36612377850162864,66,1.393939393939394,0,4,12
adaptive_centralized,0.2,386545,14,10,400,2872,0.4216573816155989,3.0275,22.831930807655123,39.658375872362576,266.0,0.18009478672985782,66,1.621212121212121,0,6,12
antsql,0.2,386545,14,10,400,2872,0.40668523676880225,2.92,29.795810524505228,56.211526705565646,608.0,0.34234234234234234,66,1.5303030303030303,0,6,12
adaptive_centralized,0.2,386545,14,10,400,2872,0.4216573816155989,3.0275,22.831930807655123,39.658375872362576,266.0,0.18009478672985782,66,1.621212121212121,0,8,12
antsql,0.2,386545,14,10,400,2872,0.4435933147632312,3.185,34.72535241129198,65.91382428021919,663.0,0.3422818791946309,66,2.015151515151515,0,8,12
adaptive_centralized,0.2,386545,14,10,400,2872,0.4216573816155989,3.0275,22.831930807655123,39.658375872362576,266.0,0.18009478672985782,66,1.621212121212121,0,10,12
antsql,0.2,386545,14,10,400,2872,0.467966573816156,3.36,39.615780206285955,81.37006917740462,682.0,0.3366238894373149,66,1.196969696969697,0,10,12
adaptive_centralized,0.2,386545,14,10,400,2872,0.4216573816155989,3.0275,22.831930807655123,39.658375872362576,266.0,0.18009478672985782,66,1.621212121212121,0,15,12
antsql,0.2,386545,14,10,400,2872,0.46274373259052926,3.3225,42.039355211347896,86.11756650881642,648.0,0.3277693474962064,66,1.7575757575757576,0,15,12
adaptive_centralized,0.2,386545,14,10,400,2872,0.4216573816155989,3.0275,22.831930807655123,39.658375872362576,266.0,0.18009478672985782,66,1.621212121212121,0,25,12
antsql,0.2,386545,14,10,400,2872,0.46274373259052926,3.3225,42.039355211347896,86.11756650881642,648.0,0.3277693474962064,66,1.7575757575757576,0,25,12
adaptive_centralized,0.2,830375,14,10,400,2745,0.2539162112932605,1.7425,18.07304844055729,37.09821337815219,266.0,0.2762201453790239,72,4.816901408450704,1,4,13
antsql,0.2,830375,14,10,400,2745,0.2105646630236794,1.445,15.642919942407943,31.67523268390252,394.0,0.4053497942386831,72,2.3055555555555554,0,4,13
adaptive_centralized,0.2,830375,14,10,400,2745,0.28743169398907104,1.9725,21.463901307497952,43.6106369950301,266.0,0.25213270142180094,72,4.774647887323944,1,6,13
antsql,0.2,830375,14,10,400,2745,0.25428051001821494,1.745,21.25134156053545,46.65851647532817,489.0,0.4119629317607414,72,2.5694444444444446,0,6,13
adaptive_centralized,0.2,830375,14,10,400,2745,0.29508196721311475,2.025,22.28515299478891,45.996303714424066,266.0,0.24721189591078066,72,4.774647887323944,1,8,13
antsql,0.2,830375,14,10,400,2745,0.3067395264116576,2.105,27.80946843887628,55.75910353204463,391.0,0.3171127331711273,72,2.140845070422535,1,8,13
adaptive_centralized,0.2,830375,14,10,400,2745,0.29508196721311475,2.025,22.28515299478891,45.996303714424066,266.0,0.24721189591078066,72,4.774647887323944,1,10,13
antsql,0.2,830375,14,10,400,2745,0.3238615664845173,2.2225,29.620296767243126,60.9447262695717,442.0,0.33208114199849736,72,1.6619718309859155,1,10,13
adaptive_centralized,0.2,830375,14,10,400,2745,0.29508196721311475,2.025,22.28515299478891,45.996303714424066,266.0,0.24721189591078066,72,4.774647887323944,1,15,13
antsql,0.2,830375,14,10,400,2745,0.317304189435337,2.1775,29.70128523597437,58.03744541373297,396.0,0.31254932912391475,72,2.112676056338028,1,15,13
adaptive_centralized,0.2,830375,14,10,400,2745,0.29508196721311475,2.025,22.28515299478891,45.996303714424066,266.0,0.24721189591078066,72,4.774647887323944,1,25,13
